Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-100.65,52.03,COWAN,5040FJ3,1/1/2017,2017,1,1,†,-7,,-18,,-12.5,,30.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/2/2017,2017,1,2,†,-14,,-20,,-17,,35,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/3/2017,2017,1,3,†,-21,,-24,,-22.5,,40.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/4/2017,2017,1,4,†,-19,,-25,,-22,,40,,0,,0,,0,T,0,T,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/5/2017,2017,1,5,†,-15,,-22,,-18.5,,36.5,,0,,0,,0,T,0,T,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/6/2017,2017,1,6,†,-13,,-18,,-15.5,,33.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/7/2017,2017,1,7,†,-9,,-18,,-13.5,,31.5,,0,,0,,0,T,0,T,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/8/2017,2017,1,8,†,-13,,-19,,-16,,34,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/9/2017,2017,1,9,†,-18,,-28,,-23,,41,,0,,0,,1,,1,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/10/2017,2017,1,10,†,-16,,-21,,-18.5,,36.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/11/2017,2017,1,11,†,-20,,-27,,-23.5,,41.5,,0,,0,,2,,2,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/12/2017,2017,1,12,†,-23,,-28,,-25.5,,43.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/13/2017,2017,1,13,†,-11,,-36,,-23.5,,41.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/14/2017,2017,1,14,†,1,,-13,,-6,,24,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/15/2017,2017,1,15,†,8,,-4,,2,,16,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/16/2017,2017,1,16,†,6,,-12,,-3,,21,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/17/2017,2017,1,17,†,7,,-5,,1,,17,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/18/2017,2017,1,18,†,7,,-5,,1,,17,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/19/2017,2017,1,19,†,12,,-5,,3.5,,14.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/20/2017,2017,1,20,†,2,,-8,,-3,,21,,0,,0,,3,,3,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/21/2017,2017,1,21,†,1,,-5,,-2,,20,,0,,0,,0,T,0,T,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/22/2017,2017,1,22,†,3,,-2,,0.5,,17.5,,0,,0,,4.4,,4.4,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/23/2017,2017,1,23,†,1,,-3,,-1,,19,,0,,0,,7.4,,7.4,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/24/2017,2017,1,24,†,-2,,-10,,-6,,24,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/25/2017,2017,1,25,†,-6,,-12,,-9,,27,,0,,0,,0,T,0,T,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/26/2017,2017,1,26,†,1,,-12,,-5.5,,23.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/27/2017,2017,1,27,†,1,,-8,,-3.5,,21.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/28/2017,2017,1,28,†,2,,-6,,-2,,20,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/29/2017,2017,1,29,†,-2,,-9,,-5.5,,23.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/30/2017,2017,1,30,†,4,,-8,,-2,,20,,0,,0,,0,T,0,T,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/31/2017,2017,1,31,†,-13,,-15,,-14,,32,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/1/2017,2017,2,1,†,-13,,-19,,-16,,34,,0,,0,,0,,0,,0,,,,,
