Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-100.65,52.03,COWAN,5040FJ3,1/1/2018,2018,1,1,†,-12,,-30,,-21,,39,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/2/2018,2018,1,2,†,-13,,-18,,-15.5,,33.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/3/2018,2018,1,3,†,-17,,-25,,-21,,39,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/4/2018,2018,1,4,†,-16,,-20,,-18,,36,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/5/2018,2018,1,5,†,-13,,-21,,-17,,35,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/6/2018,2018,1,6,†,-1,,-17,,-9,,27,,0,,0,,0,T,0,T,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/7/2018,2018,1,7,†,1,,-8,,-3.5,,21.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/8/2018,2018,1,8,†,-8,,-16,,-12,,30,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/9/2018,2018,1,9,†,-9,,-15,,-12,,30,,0,,0,,1,,1,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/10/2018,2018,1,10,†,-8,,-21,,-14.5,,32.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/11/2018,2018,1,11,†,-21,,-29,,-25,,43,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/12/2018,2018,1,12,†,-19,,-25,,-22,,40,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/13/2018,2018,1,13,†,-13,,-33,,-23,,41,,0,,0,,5,,5,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/14/2018,2018,1,14,†,-17,,-22,,-19.5,,37.5,,0,,0,,0,,0,,0,,,,,
