Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-99.29,49.28,BALDUR,5010140,1/1/2016,2016,1,1,†,-3.5,,-9.5,,-6.5,,24.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/2/2016,2016,1,2,†,-4,,-8,,-6,,24,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/3/2016,2016,1,3,†,-1.5,,-15.5,,-8.5,,26.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/4/2016,2016,1,4,†,-4.5,,-14,,-9.3,,27.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/5/2016,2016,1,5,†,-4.5,,-14.5,,-9.5,,27.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/6/2016,2016,1,6,†,-6,,-12.5,,-9.3,,27.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/7/2016,2016,1,7,†,-9,,-13,,-11,,29,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/8/2016,2016,1,8,†,-15,,-19,,-17,,35,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/9/2016,2016,1,9,†,-17.5,,-25,,-21.3,,39.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/10/2016,2016,1,10,†,-17,,-30.5,,-23.8,,41.8,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/11/2016,2016,1,11,†,-15,,-26.5,,-20.8,,38.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/12/2016,2016,1,12,†,-16,,-26,,-21,,39,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/13/2016,2016,1,13,†,-10.5,,-23,,-16.8,,34.8,,0,,0,,3,,3,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/14/2016,2016,1,14,†,-13,,-15.5,,-14.3,,32.3,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/15/2016,2016,1,15,†,-19,,-23,,-21,,39,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/16/2016,2016,1,16,†,-22,,-31,,-26.5,,44.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/17/2016,2016,1,17,†,,M,-29,,,M,,M,,M,,,,,,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/18/2016,2016,1,18,†,-10,,,M,,M,,M,,M,0,,0,,0,,,,,,,
-99.29,49.28,BALDUR,5010140,1/19/2016,2016,1,19,†,-8.5,,-18,,-13.3,,31.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/20/2016,2016,1,20,†,-7,,-11,,-9,,27,,0,,0,,0,,0,,0,,,,,
