Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-99.29,49.28,BALDUR,5010140,1/1/2019,2019,1,1,†,-5,,-29.5,,-17.3,,35.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/2/2019,2019,1,2,†,-0.5,,-22,,-11.3,,29.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/3/2019,2019,1,3,†,2.5,,-7.5,,-2.5,,20.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/4/2019,2019,1,4,†,0,,-10,,-5,,23,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/5/2019,2019,1,5,†,0,,-9.5,,-4.8,,22.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/6/2019,2019,1,6,†,-0.5,,-13,,-6.8,,24.8,,0,,0,,2,,2,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/7/2019,2019,1,7,†,0.5,,-12.5,,-6,,24,,0,,0,,3,,3,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/8/2019,2019,1,8,†,-13,,-15.5,,-14.3,,32.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/9/2019,2019,1,9,†,-15.5,,-25,,-20.3,,38.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/10/2019,2019,1,10,†,-12,,-20.5,,-16.3,,34.3,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/11/2019,2019,1,11,†,-11,,-20,,-15.5,,33.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/12/2019,2019,1,12,†,-8.5,,-14,,-11.3,,29.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/13/2019,2019,1,13,†,-6,,-13,,-9.5,,27.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/14/2019,2019,1,14,†,-4.5,,-13.5,,-9,,27,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/15/2019,2019,1,15,†,-4,,-11,,-7.5,,25.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/16/2019,2019,1,16,†,-16,,-28,,-22,,40,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/17/2019,2019,1,17,†,-14,,-28,,-21,,39,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/18/2019,2019,1,18,†,-23,,-29,,-26,,44,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/19/2019,2019,1,19,†,-23,,-33,,-28,,46,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/20/2019,2019,1,20,†,-17,,-31.5,,-24.3,,42.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/21/2019,2019,1,21,†,-12.5,,-31.5,,-22,,40,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/22/2019,2019,1,22,†,-10.5,,-17,,-13.8,,31.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/23/2019,2019,1,23,†,-8,,-17.5,,-12.8,,30.8,,0,,0,,1,,1,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/24/2019,2019,1,24,†,-22,,-27,,-24.5,,42.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/25/2019,2019,1,25,†,-21,,-33,,-27,,45,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/26/2019,2019,1,26,†,-20,,-30,,-25,,43,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/27/2019,2019,1,27,†,-16,,-30,,-23,,41,,0,,0,,8,,8,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/28/2019,2019,1,28,†,-14.5,,-25.5,,-20,,38,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/29/2019,2019,1,29,†,-29,,-37,,-33,,51,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/30/2019,2019,1,30,†,-26.5,,-39.5,,-33,,51,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/31/2019,2019,1,31,†,-13,,-35,,-24,,42,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/1/2019,2019,2,1,†,-5,,-27,,-16,,34,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,2/2/2019,2019,2,2,†,-16.5,,-20.5,,-18.5,,36.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/3/2019,2019,2,3,†,-23,,-25,,-24,,42,,0,,0,,20,,20,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/4/2019,2019,2,4,†,-22,,-27,,-24.5,,42.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/5/2019,2019,2,5,†,-22,,-32,,-27,,45,,0,,0,,10,,10,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/6/2019,2019,2,6,†,-20,,-30,,-25,,43,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/7/2019,2019,2,7,†,-22,,-28,,-25,,43,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/8/2019,2019,2,8,†,-27,,-37,,-32,,50,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/9/2019,2019,2,9,†,-21.5,,-36.5,,-29,,47,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/10/2019,2019,2,10,†,-19.5,,-35,,-27.3,,45.3,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,2/11/2019,2019,2,11,†,-13.5,,-30.5,,-22,,40,,0,,0,,9,,9,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/12/2019,2019,2,12,†,-14,,-25.5,,-19.8,,37.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/13/2019,2019,2,13,†,-16,,-25.5,,-20.8,,38.8,,0,,0,,2,,2,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/14/2019,2019,2,14,†,-16,,-26,,-21,,39,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/15/2019,2019,2,15,†,-14.5,,-32,,-23.3,,41.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/16/2019,2019,2,16,†,-12,,-28,,-20,,38,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/17/2019,2019,2,17,†,-12,,-29.5,,-20.8,,38.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/18/2019,2019,2,18,†,-15.5,,-28,,-21.8,,39.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/19/2019,2019,2,19,†,-14.5,,-27.5,,-21,,39,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,2/20/2019,2019,2,20,†,-9.5,,-26,,-17.8,,35.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/21/2019,2019,2,21,†,-11.5,,-18,,-14.8,,32.8,,0,,0,,1.6,,1.6,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/22/2019,2019,2,22,†,-11,,-23.5,,-17.3,,35.3,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,2/23/2019,2019,2,23,†,-8,,-21,,-14.5,,32.5,,0,,0,,2,,2,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/24/2019,2019,2,24,†,-18,,-21,,-19.5,,37.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/25/2019,2019,2,25,†,-19.5,,-34.5,,-27,,45,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/26/2019,2019,2,26,†,-17,,-32,,-24.5,,42.5,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,2/27/2019,2019,2,27,†,-14,,-24.5,,-19.3,,37.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/28/2019,2019,2,28,†,-9.5,,-21.5,,-15.5,,33.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/1/2019,2019,3,1,†,-12.5,,-18,,-15.3,,33.3,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,3/2/2019,2019,3,2,†,-21.5,,-28.5,,-25,,43,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/3/2019,2019,3,3,†,-16,,-28.5,,-22.3,,40.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/4/2019,2019,3,4,†,-17,,-26,,-21.5,,39.5,,0,,0,,2,,2,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/5/2019,2019,3,5,†,-7.5,,-21,,-14.3,,32.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/6/2019,2019,3,6,†,-11,,-22,,-16.5,,34.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/7/2019,2019,3,7,†,-10,,-28.5,,-19.3,,37.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/8/2019,2019,3,8,†,-5,,-20,,-12.5,,30.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/9/2019,2019,3,9,†,-4.5,,-11,,-7.8,,25.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/10/2019,2019,3,10,†,-7,,-19,,-13,,31,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/11/2019,2019,3,11,†,-4.5,,-22,,-13.3,,31.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/12/2019,2019,3,12,†,0.5,,-19,,-9.3,,27.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/13/2019,2019,3,13,†,-1,,-10.5,,-5.8,,23.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/14/2019,2019,3,14,†,-1.5,,-9,,-5.3,,23.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/15/2019,2019,3,15,†,-1.5,,-11,,-6.3,,24.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/16/2019,2019,3,16,†,1,,-19.5,,-9.3,,27.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/17/2019,2019,3,17,†,1.5,,-16,,-7.3,,25.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/18/2019,2019,3,18,†,-1.5,,-10.5,,-6,,24,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/19/2019,2019,3,19,†,3.5,,-10,,-3.3,,21.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/20/2019,2019,3,20,†,5.5,,-6.5,,-0.5,,18.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/21/2019,2019,3,21,†,7.5,,-1,,3.3,,14.7,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/22/2019,2019,3,22,†,4.5,,-9.5,,-2.5,,20.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/23/2019,2019,3,23,†,9,,-8.5,,0.3,,17.7,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/24/2019,2019,3,24,†,-4.5,,-10,,-7.3,,25.3,,0,,0,,0,,0,,0,,,,,
