Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-100.65,52.03,COWAN,5040FJ3,2/9/2016,2016,2,9,†,-13,,-19,,-16,,34,,0,,0,,1,,1,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/10/2016,2016,2,10,†,-9,,-17,,-13,,31,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/11/2016,2016,2,11,†,-11,,-17,,-14,,32,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/12/2016,2016,2,12,†,-14,,-28,,-21,,39,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/13/2016,2016,2,13,†,-10,,-33,,-21.5,,39.5,,0,,0,,4,,4,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/14/2016,2016,2,14,†,3,,-15,,-6,,24,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/15/2016,2016,2,15,†,-3,,-7,,-5,,23,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/16/2016,2016,2,16,†,-6,,-22,,-14,,32,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/17/2016,2016,2,17,†,6,,-14,,-4,,22,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/18/2016,2016,2,18,†,-2,,-8,,-5,,23,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/19/2016,2016,2,19,†,1,,-3,,-1,,19,,0,,0,,1,,1,,0,,,,,
